trip_id,member_id,destination,duration_days,cost_usd,activities,start_date_clean
T1000,1685,Cape Town,5,286000,"['wine tasting', 'shopping']",2023-04-12
T1001,1685,Banff,10,259000,"['shopping', 'wine tasting']",2025-01-15
T1002,1685,Banff,8,268000,"['shopping', 'wine tasting', 'spa']",2024-11-18
T1003,1685,Barcelona,9,176000,"['wine tasting', 'shopping', 'spa']",2025-04-18
T1004,1685,Rome,6,232000,"['shopping', 'wine tasting']",2025-01-29
T1005,1614,Bali,7,120000,"['kayaking', 'hiking']",2022-06-06
T1006,1614,Bali,4,117000,"['hiking', 'safari', 'kayaking']",2023-05-19
T1007,1614,Tokyo,6,95000,"['kayaking', 'hiking', 'safari']",2021-12-05
T1008,1614,Tokyo,3,108000,"['kayaking', 'hiking', 'safari']",2024-05-01
T1009,1614,Cancun,4,71000,"['hiking', 'safari']",2023-03-26
T1010,1602,Bali,6,117000,"['beach', 'snorkeling', 'spa']",2022-11-16
T1011,1602,Bali,5,113000,"['snorkeling', 'beach']",2022-09-19
T1012,1602,Cancun,8,91000,"['snorkeling', 'beach']",2023-03-28
T1013,1502,Cancun,7,92000,['beach'],2022-05-08
T1014,1502,Denver,5,186000,"['snorkeling', 'spa', 'beach']",2021-11-19
T1015,1502,Banff,6,336000,"['spa', 'beach', 'snorkeling']",2021-08-01
T1016,1502,Cape Town,8,253000,"['snorkeling', 'spa', 'beach']",2024-06-09
T1017,1341,Rome,5,253000,"['cultural show', 'food tour', 'museum tour']",2023-11-29
T1018,1248,Tokyo,10,104000,"['snorkeling', 'spa']",2025-05-17
T1019,1716,Phuket,3,541000,['safari'],2024-11-17
T1020,1716,Phuket,10,540000,['safari'],2023-05-26
T1021,1716,Cancun,8,91000,"['hiking', 'safari', 'kayaking']",2024-06-14
T1022,1716,Rome,10,260000,"['kayaking', 'hiking']",2022-12-31
T1023,1904,Barcelona,8,169000,"['snorkeling', 'spa']",2024-10-31
T1024,1904,Banff,3,313000,['spa'],2024-09-04
T1025,1904,Tokyo,7,118000,"['spa', 'beach']",2022-02-05
T1026,1827,Bali,3,97000,['hiking'],2021-10-17
T1027,1827,Bali,6,106000,"['safari', 'kayaking']",2024-12-07
T1028,1827,Cape Town,8,282000,"['hiking', 'safari']",2022-03-31
T1029,1049,Denver,8,139000,"['kayaking', 'hiking', 'safari']",2021-10-08
T1030,1049,Rome,8,269000,['hiking'],2023-07-29
