trip_id,member_id,destination,start_date,duration_days,cost_usd,activities
T1000,1685,Cape Town,2023-04-12,5,286000,"wine tasting, shopping"
T1001,1685,Banff,"January 15, 2025",10,259000,"shopping, wine tasting"
T1002,1685,Banff,11/18/2024,8,268000,"shopping, wine tasting, spa"
T1003,1685,Barcelona,04/18/2025,9,176000,"wine tasting, shopping, spa"
T1004,1685,Rome,2025-01-29,6,232000,"shopping, wine tasting"
T1005,1614,Bali,2022-06-06,7,120000,"kayaking, hiking"
T1006,1614,Bali,05/19/2023,4,117000,"hiking, safari, kayaking"
T1007,1614,Tokyo,12/05/2021,6,95000,"kayaking, hiking, safari"
T1008,1614,Tokyo,05/01/2024,3,108000,"kayaking, hiking, safari"
T1009,1614,Cancun,03/26/2023,4,71000,"hiking, safari"
T1010,1602,Bali,11/16/2022,6,117000,"beach, snorkeling, spa"
T1011,1602,Bali,"September 19, 2022",5,113000,"snorkeling, beach"
T1012,1602,Cancun,"March 28, 2023",8,91000,"snorkeling, beach"
T1013,1502,Cancun,"May 08, 2022",7,92000,beach
T1014,1502,Denver,"November 19, 2021",5,186000,"snorkeling, spa, beach"
T1015,1502,Banff,08/01/2021,6,336000,"spa, beach, snorkeling"
T1016,1502,Cape Town,"June 09, 2024",8,253000,"snorkeling, spa, beach"
T1017,1341,Rome,"November 29, 2023",5,253000,"cultural show, food tour, museum tour"
T1018,1248,Tokyo,"May 17, 2025",10,104000,"snorkeling, spa"
T1019,1716,Phuket,11/17/2024,3,541000,safari
T1020,1716,Phuket,2023-05-26,10,540000,safari
T1021,1716,Cancun,"June 14, 2024",8,91000,"hiking, safari, kayaking"
T1022,1716,Rome,"December 31, 2022",10,260000,"kayaking, hiking"
T1023,1904,Barcelona,2024-10-31,8,169000,"snorkeling, spa"
T1024,1904,Banff,"September 04, 2024",3,313000,spa
T1025,1904,Tokyo,"February 05, 2022",7,118000,"spa, beach"
T1026,1827,Bali,2021-10-17,3,97000,hiking
T1027,1827,Bali,2024-12-07,6,106000,"safari, kayaking"
T1028,1827,Cape Town,03/31/2022,8,282000,"hiking, safari"
